(epoch: 29, iters: 500, time: 5.286, data: 2.842) D_A: 0.274 G_A: 0.182 cycle_A: 0.189 idt_A: 0.091 D_B: 0.292 G_B: 0.117 cycle_B: 0.184 idt_B: 0.083 
(epoch: 30, iters: 500, time: 5.307, data: 24.100) D_A: 0.225 G_A: 0.379 cycle_A: 0.145 idt_A: 0.073 D_B: 0.242 G_B: 0.259 cycle_B: 0.151 idt_B: 0.067 
(epoch: 31, iters: 500, time: 5.315, data: 2.784) D_A: 0.205 G_A: 0.406 cycle_A: 0.167 idt_A: 0.078 D_B: 0.248 G_B: 0.201 cycle_B: 0.163 idt_B: 0.078 
(epoch: 32, iters: 500, time: 5.349, data: 24.405) D_A: 0.163 G_A: 0.298 cycle_A: 0.195 idt_A: 0.065 D_B: 0.251 G_B: 0.221 cycle_B: 0.145 idt_B: 0.079 
(epoch: 33, iters: 500, time: 5.265, data: 22.399) D_A: 0.215 G_A: 0.293 cycle_A: 0.220 idt_A: 0.079 D_B: 0.280 G_B: 0.275 cycle_B: 0.165 idt_B: 0.091 
(epoch: 34, iters: 500, time: 5.201, data: 19.100) D_A: 0.068 G_A: 0.209 cycle_A: 0.195 idt_A: 0.064 D_B: 0.223 G_B: 0.300 cycle_B: 0.136 idt_B: 0.057 
(epoch: 35, iters: 500, time: 5.070, data: 10.268) D_A: 0.276 G_A: 0.106 cycle_A: 0.250 idt_A: 0.092 D_B: 0.223 G_B: 0.447 cycle_B: 0.189 idt_B: 0.091 
(epoch: 36, iters: 500, time: 5.141, data: 28.956) D_A: 0.338 G_A: 0.441 cycle_A: 0.201 idt_A: 0.074 D_B: 0.301 G_B: 0.093 cycle_B: 0.176 idt_B: 0.072 
(epoch: 37, iters: 500, time: 5.259, data: 20.537) D_A: 0.253 G_A: 0.067 cycle_A: 0.183 idt_A: 0.060 D_B: 0.332 G_B: 0.063 cycle_B: 0.140 idt_B: 0.070 
(epoch: 38, iters: 500, time: 5.141, data: 8.226) D_A: 54.875 G_A: 66.412 cycle_A: 0.734 idt_A: 0.494 D_B: 0.236 G_B: 0.237 cycle_B: 0.951 idt_B: 0.059 
(epoch: 39, iters: 500, time: 4.985, data: 19.955) D_A: 0.267 G_A: 0.283 cycle_A: 0.238 idt_A: 0.133 D_B: 0.160 G_B: 0.271 cycle_B: 0.290 idt_B: 0.080 
(epoch: 40, iters: 500, time: 5.442, data: 21.109) D_A: 0.259 G_A: 0.243 cycle_A: 0.138 idt_A: 0.072 D_B: 0.229 G_B: 0.196 cycle_B: 0.177 idt_B: 0.058 
(epoch: 41, iters: 500, time: 6.640, data: 2.677) D_A: 0.253 G_A: 0.258 cycle_A: 0.170 idt_A: 0.067 D_B: 0.262 G_B: 0.232 cycle_B: 0.152 idt_B: 0.071 
(epoch: 42, iters: 500, time: 5.398, data: 2.942) D_A: 0.318 G_A: 0.440 cycle_A: 0.127 idt_A: 0.069 D_B: 0.214 G_B: 0.076 cycle_B: 0.179 idt_B: 0.056 
(epoch: 43, iters: 500, time: 5.534, data: 23.986) D_A: 0.481 G_A: 0.694 cycle_A: 0.151 idt_A: 0.074 D_B: 0.319 G_B: 0.740 cycle_B: 0.183 idt_B: 0.067 
(epoch: 44, iters: 500, time: 5.456, data: 2.705) D_A: 0.231 G_A: 0.309 cycle_A: 0.238 idt_A: 0.080 D_B: 0.217 G_B: 0.470 cycle_B: 0.188 idt_B: 0.089 
(epoch: 45, iters: 500, time: 5.214, data: 27.075) D_A: 0.405 G_A: 0.599 cycle_A: 0.190 idt_A: 0.099 D_B: 0.262 G_B: 0.362 cycle_B: 0.256 idt_B: 0.082 
